time (seconds),encoderLeft (meters),encoderRight (meters)
67.101,-0.0007758591091260314,-0.0008638739818707108
67.201,-0.0007770151132717729,-0.0008651599055156112
67.298,-0.0007781978347338736,-0.000866475747898221
67.396,-0.0007793486001901329,-0.0008677609148435295
67.501,-0.0007805230561643839,-0.0008690663380548358
67.601,-0.000781677255872637,-0.0008703516214154661
67.699,-0.0007828449597582221,-0.0008716530865058303
67.801,-0.0007839938043616712,-0.0008729328401386738
67.901,-0.0007851530681364238,-0.0008742223726585507
67.987,-0.0007863336359150708,-0.0008755330927670002
68.1,-0.0007875115843489766,-0.0008768446859903634
68.201,-0.0007886845851317048,-0.0008781484211795032
68.299,-0.0007898565963841975,-0.000879450817592442
68.396,-0.0007909886771813035,-0.0008807132835499942
68.5,-0.0007921613287180662,-0.0008820175426080823
68.601,-0.0007933333981782198,-0.0008833211613819003
68.699,-0.0007944883545860648,-0.0008846063865348697
68.8,-0.0007956212502904236,-0.0008858696091920137
68.901,-0.0007967969868332148,-0.0008871771860867739
69.001,-0.000797922199126333,-0.0008884326089173555
69.1,-0.0007991025340743363,-0.0008897454827092588
69.204,-0.0008002707618288696,-0.0008910467731766403
69.301,-0.0008014466729946434,-0.0008923554560169578
69.401,-0.0008025881834328175,-0.0008936292142607272
69.501,-0.0008037140942178667,-0.0008948872564360499
69.601,-0.0008049086900427938,-0.0008962120045907795
69.7,-0.0008060347754508257,-0.0008974706870503724
69.801,-0.0008072160999290645,-0.0008987812325358391
69.9,-0.0008083700085990131,-0.000900066050235182
69.999,-0.0008095047669485211,-0.0009013324161060154
70.101,-0.0008106717141345143,-0.0009026298648677766
70.2,-0.0008118473342619836,-0.0009039356373250484
70.298,-0.000813006074167788,-0.0009052280802279711
70.401,-0.0008141774451360106,-0.0009065307676792145
70.5,-0.0008153367089107633,-0.0009078215225599706
70.601,-0.0008164747850969434,-0.0009090913808904588
70.701,-0.0008176361443474889,-0.0009103828924708068
70.8,-0.000818790344055742,-0.0009116713772527874
70.901,-0.0008199622971005738,-0.0009129719692282379
71.001,-0.0008211273816414177,-0.0009142690687440336
71.099,-0.0008222984033636749,-0.0009155700681731105
71.2,-0.0008234358974732459,-0.0009168400429189205
71.3,-0.0008246563957072794,-0.0009181929053738713
71.397,-0.0008258034940809011,-0.000919471203815192
71.5,-0.0008270036778412759,-0.0009208042174577713
71.601,-0.0008281710906885564,-0.0009221034706570208
71.701,-0.0008293506689369678,-0.0009234118624590337
71.801,-0.0008305193041451275,-0.0009247151319868863
71.901,-0.0008316733292303979,-0.000926003500353545
72,-0.0008328579133376479,-0.0009273168398067355
72.101,-0.0008339766645804048,-0.000928568362724036
72.2,-0.0008351685246452689,-0.0009298897348344326
72.301,-0.0008363091037608683,-0.0009311624453403056
72.399,-0.0008374644676223397,-0.0009324468555860221
72.5,-0.0008386552799493074,-0.0009337703813798726
72.603,-0.0008398129721172154,-0.0009350577602162957
72.701,-0.0008409901638515294,-0.0009363655699416995
72.801,-0.000842148729134351,-0.0009376578964293003
72.901,-0.0008433169568888843,-0.0009389563929289579
73.001,-0.000844460679218173,-0.0009402339928783476
73.1,-0.000845644623041153,-0.0009415477397851646
73.201,-0.0008468242012895644,-0.0009428595658391714
73.3,-0.0008479466778226197,-0.0009441130678169429
73.397,-0.000849138421472162,-0.0009454362443648279
73.501,-0.0008503001881763339,-0.0009467288036830723
73.601,-0.0008513948414474726,-0.0009479556465521455
73.7,-0.0008525797165930271,-0.0009492718381807208
73.8,-0.0008537147659808397,-0.0009505371563136578
73.9,-0.0008548924815841019,-0.0009518457809463143
74,-0.0008560657734051347,-0.0009531520190648735
74.101,-0.0008572522201575339,-0.0009544678032398224
74.2,-0.000858409097418189,-0.0009557553566992283
74.301,-0.0008595556719228625,-0.0009570330730639398
