time (seconds),encoderLeft (meters),encoderRight (meters)
137.798,2.2873735427856445,1.9487537145614624
137.9,2.287372350692749,1.9487524032592773
138.001,2.2873711585998535,1.9487510919570923
138.101,2.287369966506958,1.9487497806549072
138.201,2.2873690128326416,1.9487484693527222
138.301,2.287367820739746,1.948747158050537
138.401,2.2873666286468506,1.948745846748352
138.501,2.287365436553955,1.948744535446167
138.6,2.2873642444610596,1.9487433433532715
138.698,2.287363052368164,1.9487419128417969
138.801,2.2873618602752686,1.9487407207489014
138.9,2.287360668182373,1.9487394094467163
139.001,2.2873594760894775,1.9487380981445312
139.098,2.287358283996582,1.9487367868423462
139.201,2.2873570919036865,1.9487354755401611
139.301,2.287355899810791,1.948734164237976
139.4,2.2873549461364746,1.948732852935791
139.501,2.287353754043579,1.948731541633606
139.6,2.2873525619506836,1.948730230331421
139.7,2.287351369857788,1.9487289190292358
139.8,2.2873501777648926,1.9487276077270508
139.899,2.287348985671997,1.9487264156341553
140,2.2873477935791016,1.9487251043319702
140.099,2.287346601486206,1.9487237930297852
140.201,2.2873454093933105,1.9487224817276
140.301,2.287344217300415,1.948721170425415
140.4,2.2873430252075195,1.94871985912323
140.499,2.287342071533203,1.948718547821045
140.601,2.2873408794403076,1.9487172365188599
140.698,2.287339687347412,1.9487160444259644
140.801,2.2873384952545166,1.9487147331237793
140.902,2.287337303161621,1.9487134218215942
140.999,2.2873361110687256,1.9487121105194092
141.1,2.28733491897583,1.9487107992172241
141.198,2.2873337268829346,1.948709487915039
141.301,2.287332773208618,1.948708176612854
141.401,2.2873315811157227,1.948706865310669
141.5,2.287330389022827,1.9487055540084839
141.6,2.2873291969299316,1.9487042427062988
141.699,2.287328004837036,1.9487029314041138
141.798,2.2873268127441406,1.9487016201019287
141.901,2.287325620651245,1.9487004280090332
141.999,2.2873244285583496,1.9486991167068481
142.1,2.287323474884033,1.948697805404663
142.201,2.2873222827911377,1.948696494102478
142.298,2.287321090698242,1.948695182800293
142.4,2.2873198986053467,1.948693871498108
142.499,2.287318706512451,1.9486925601959229
142.598,2.2873175144195557,1.9486912488937378
142.701,2.28731632232666,1.9486900568008423
142.8,2.2873151302337646,1.9486887454986572
142.899,2.287313938140869,1.9486874341964722
143.001,2.2873127460479736,1.948686122894287
143.101,2.287311553955078,1.9486846923828125
143.2,2.2873103618621826,1.948683500289917
143.298,2.287309169769287,1.948682188987732
143.395,2.2873079776763916,1.9486808776855469
143.498,2.287307024002075,1.9486795663833618
143.598,2.287306070327759,1.948678731918335
143.7,2.287306070327759,1.948678731918335
143.801,2.287306070327759,1.948678731918335
143.899,2.287306070327759,1.948678731918335
144,2.287306070327759,1.948678731918335
144.1,2.287306547164917,1.948678731918335
144.2,2.2873053550720215,1.9486773014068604
144.3,2.287304162979126,1.9486759901046753
144.4,2.2873027324676514,1.9486745595932007
144.501,2.287301540374756,1.9486732482910156
144.6,2.2873003482818604,1.9486719369888306
144.701,2.287299156188965,1.948670506477356
144.796,2.2872979640960693,1.948669195175171
144.898,2.2872965335845947,1.9486677646636963
145,2.287295341491699,1.9486664533615112
145.1,2.2872941493988037,1.9486651420593262
145.201,2.287292957305908,1.9486637115478516
145.301,2.2872917652130127,1.9486624002456665
145.401,2.289637804031372,1.946312665939331
145.501,2.2919857501983643,1.943961262702942
145.599,2.2943336963653564,1.9416097402572632
145.696,2.2966818809509277,1.939258337020874
145.795,2.29902982711792,1.9369068145751953
145.899,2.301377773284912,1.9345552921295166
145.999,2.3037259578704834,1.932203769683838
146.1,2.3060739040374756,1.9298523664474487
146.201,2.3084218502044678,1.92750084400177
146.299,2.310770034790039,1.9251493215560913
146.4,2.3131179809570312,1.9227979183197021
146.5,2.3154659271240234,1.9204463958740234
146.601,2.3178138732910156,1.9180949926376343
146.7,2.320162057876587,1.9157434701919556
146.801,2.322510004043579,1.9133919477462769
146.901,2.3248579502105713,1.9110405445098877
146.998,2.3272061347961426,1.908689022064209
147.1,2.3295540809631348,1.9063374996185303
147.201,2.331902027130127,1.9039860963821411
147.302,2.3342502117156982,1.9016345739364624
147.399,2.3365981578826904,1.8992830514907837
147.499,2.3389463424682617,1.8969316482543945
147.601,2.341294288635254,1.8945801258087158
147.7,2.343642234802246,1.892228603363037
147.801,2.3459904193878174,1.889877200126648
147.9,2.3483383655548096,1.8875256776809692
148,2.3506863117218018,1.88517427444458
148.101,2.353034496307373,1.882822871208191
148.2,2.3553824424743652,1.8804713487625122
148.299,2.3577303886413574,1.8781198263168335
148.401,2.3600785732269287,1.8757684230804443
148.5,2.362426519393921,1.8734169006347656
148.595,2.364774465560913,1.8710654973983765
148.697,2.3671226501464844,1.8687139749526978
148.801,2.3694705963134766,1.8663625717163086
148.898,2.371818780899048,1.8640110492706299
148.998,2.37416672706604,1.8616596460342407
149.101,2.3765146732330322,1.859308123588562
149.199,2.3788628578186035,1.8569566011428833
149.298,2.3812108039855957,1.8546051979064941
149.4,2.383558750152588,1.8522536754608154
149.501,2.385906934738159,1.8499022722244263
149.601,2.3882548809051514,1.8475507497787476
149.699,2.3906028270721436,1.8451992273330688
149.799,2.392951011657715,1.8428478240966797
149.9,2.395298957824707,1.840496301651001
150.001,2.397646903991699,1.8381448984146118
150.098,2.3999950885772705,1.835793375968933
150.201,2.4023430347442627,1.833441972732544
150.299,2.404691219329834,1.8310904502868652
150.401,2.407039165496826,1.8287389278411865
150.5,2.4093871116638184,1.8263875246047974
150.598,2.4117352962493896,1.8240360021591187
150.7,2.414083242416382,1.8216845989227295
150.801,2.416431188583374,1.8193330764770508
150.901,2.418779134750366,1.816981554031372
151.001,2.4211273193359375,1.814630150794983
151.097,2.4234752655029297,1.8122786283493042
151.201,2.425823211669922,1.8099271059036255
151.3,2.4458084106445312,1.829860806465149
151.4,2.4658071994781494,1.849859356880188
151.501,2.4858059883117676,1.8698577880859375
151.597,2.5058047771453857,1.8898563385009766
151.699,2.525803565979004,1.9098548889160156
151.801,2.545802354812622,1.9298534393310547
151.9,2.5658011436462402,1.9498518705368042
152.001,2.5857999324798584,1.9698504209518433
152.099,2.6057987213134766,1.9898489713668823
152.201,2.6257975101470947,2.009847402572632
152.299,2.645796298980713,2.029845952987671
152.4,2.6434929370880127,2.032200574874878
152.497,2.6634302139282227,2.0521814823150635
152.594,2.683429002761841,2.0721802711486816
152.704,2.70342755317688,2.0921788215637207
152.801,2.7011241912841797,2.0945329666137695
152.901,2.7210631370544434,2.114515781402588
152.999,2.7410614490509033,2.134514808654785
153.097,2.7610599994659424,2.1545135974884033
153.201,2.758756160736084,2.1568684577941895
153.299,2.7786917686462402,2.1768503189086914
153.401,2.7986900806427,2.1968493461608887
153.501,2.8186886310577393,2.2168478965759277
153.601,2.8386871814727783,2.236846685409546
153.7,2.83638334274292,2.239201784133911
153.801,2.856318950653076,2.2591824531555176
153.897,2.8763177394866943,2.279181480407715
154.001,2.8963162899017334,2.299180269241333
154.097,2.894012451171875,2.301535129547119
154.202,2.9139511585235596,2.321516513824463
154.301,2.9339497089385986,2.341515064239502
154.401,2.953948497772217,2.361513614654541
154.5,2.9516446590423584,2.363868474960327
154.6,2.9715793132781982,2.383849859237671
154.7,2.9915778636932373,2.403848886489868
154.804,3.0115764141082764,2.4238476753234863
154.901,3.0092737674713135,2.4262027740478516
155.001,3.0292093753814697,2.446183204650879
155.101,3.049208164215088,2.466181993484497
155.199,3.069206714630127,2.486180543899536
155.301,3.0669028759002686,2.4885358810424805
155.401,3.0868375301361084,2.508516311645508
155.501,3.1068363189697266,2.528515338897705
155.601,3.1268348693847656,2.5485141277313232
155.699,3.1468334197998047,2.5685126781463623
155.796,3.166832208633423,2.5885112285614014
155.898,3.186830759048462,2.6085100173950195
155.999,3.20682954788208,2.6285085678100586
156.098,3.226828098297119,2.6485071182250977
156.2,3.2468268871307373,2.668505907058716
156.301,3.2491800785064697,2.6662049293518066
156.401,3.269163131713867,2.686135768890381
156.5,3.2891616821289062,2.70613431930542
156.599,3.3091604709625244,2.726132869720459
156.699,3.3291592597961426,2.746131420135498
156.801,3.331512212753296,2.7438302040100098
156.901,3.351496934890747,2.7637624740600586
156.999,3.3714959621429443,2.7837610244750977
157.101,3.3914947509765625,2.8037595748901367
157.2,3.4114935398101807,2.823758125305176
157.298,3.431492328643799,2.843756675720215
157.398,3.451491117477417,2.863755226135254
157.501,3.4538440704345703,2.861453056335449
157.601,3.4561915397644043,2.8591015338897705
157.701,3.47617506980896,2.879033088684082
157.801,3.496173858642578,2.899031639099121
157.901,3.5161726474761963,2.91903018951416
158.001,3.5361716747283936,2.93902850151062
158.101,3.5561704635620117,2.959027051925659
158.199,3.558523178100586,2.956725835800171
158.299,3.560870885848999,2.954374313354492
